Protein	14F	14F	17F	23M	25M	28M	36M	37M	39M	43M	44M	45F	45M	47M	48M	49F	50F	52F	59M	66M
A0PJW6	4637350.0	2140460.0	7221650.0	10068300.0	7814760.0	13893500.0	2377320.0	4537940.0	1980860.0	1833670.0	5586260.0	2219220.0	2767600.0	7185660.0	4755990.0	3293480.0	2053260.0	10997700.0	4115790.0	3681880.0
A0PJX8	15448000.0	14441700.0	14687100.0	17619600.0	17776200.0	8150540.0	28296400.0	7874870.0	12779200.0	32191200.0	19085200.0	35966500.0	25018800.0	15825700.0	24650600.0	16047300.0	15098400.0	22535200.0	22413400.0	15913300.0
A1A4S6						13716300.0	520055.0											15607400.0		
A1A5C7			1441.5																	
A1IGU5	6832.62	15856.2	14266.3	21668.8	43529.9	22668.7	37620.8	15265.6		2334390.0		6530800.0	504680.0	375836.0		5319970.0		383404.0		
A1L0T0	107920000.0	136264000.0	145751000.0	405567000.0	110875000.0	136939000.0	81223000.0	49790300.0	56334800.0	401085000.0	205011000.0	95066000.0	239867000.0	147586000.0	831276000.0	71815000.0	67780700.0	176785000.0	146049000.0	198706000.0
A1L170	10240300.0	13065200.0	22149300.0	16992600.0	21344800.0	5816410.0	5943710.0	7541680.0	8157050.0	8787280.0	26744700.0	10737200.0	13496900.0	20756100.0	9303330.0	5397600.0	19696200.0	7926770.0	25847900.0	24693000.0
A1L188	178592000.0	1812230.0	1060540.0	3310100.0	5190810.0	11713300.0	23976000.0	34890900.0	73833600.0	122713000.0	6762480.0	11943200.0	151917000.0	5212310.0	24254200.0	107683000.0	59116900.0	2103880.0	8276080.0	5439960.0
A1L390	16808900.0	4700430.0	10344500.0	6050510.0	2778650.0	12013900.0	7991100.0	5966310.0	33227200.0	86532100.0	8269020.0	54670600.0	20020900.0	8498440.0	29685200.0	25789500.0	10884100.0	12495200.0	10683500.0	11520000.0
A1L4H1																		5306250.0		
A1X283	15507200.0	4892530.0	13106000.0	12738000.0	14117700.0	39465400.0	74239300.0	69325600.0	26370600.0	4832530.0	4027900.0	1604330.0	1780630.0	4056910.0	46493700.0	17303200.0	32169500.0	11222000.0	33045800.0	5856220.0
A1Z1Q3	859886.0	5262490.0	4289130.0	10331100.0	13858200.0	4703460.0	3308120.0		3597430.0	8616650.0	4609240.0	5153430.0	4772900.0	5092030.0	590007.0	3299870.0	1475060.0	8916440.0	4039680.0	9843540.0
A2RRP1	180177000.0	13915300.0	124762000.0	110311000.0	109921000.0	47113500.0	182480000.0	113708000.0	94591800.0	146140000.0	85975800.0	156928000.0	70841000.0	57610600.0	327567000.0	176192000.0	88843900.0	65227600.0	178336000.0	79839600.0
A2RTX5	13137600.0	1616880.0	40179800.0	193089000.0	29825600.0	3739790.0	7287270.0	10929600.0	18596500.0	11705800.0	2984540.0	11065600.0	15312500.0	157626000.0	2678550.0	36586200.0	17228200.0	84532900.0	2574510.0	11246100.0
A2RU49	295289.0		519908.0		604662.0	8139.87	48391800.0		34504100.0	30738500.0	1386380.0	5200420.0		2024510.0	6796330.0	4868960.0	3837300.0	657496.0		1655960.0
A2RU67	13193.1	17237.7	389802.0	411764.0	24948.0	25749.3	2678350.0	764345.0	3943160.0		429944.0	333954.0	1084670.0	418289.0	842365.0		172392.0	11257.2	49506.2	230492.0
A2RUB1																			19835900.0	
A2RUB6																				50601200.0
A2RUC4	4294820.0	2866170.0	23559600.0	4906120.0	7624090.0	14382400.0	5596230.0	76745200.0	5597590.0	7179800.0	18848000.0	1884210.0	2555620.0	21666900.0	753192.0	3566680.0	9187750.0	19575400.0	16243000.0	8819660.0
A2RUS2	14566.0	799161.0	11052100.0	8559050.0	365235.0	35850000.0	3544250.0	12030500.0	11822200.0	8754360.0	6682880.0	424901.0	2525490.0	92162300.0	8010230.0	2336910.0	3928420.0	13451500.0	22057600.0	10398400.0
A2VDF0	6933890.0	19015700.0	3902190.0	3243880.0	3115580.0	2185060.0	7387790.0	4142830.0	6751520.0	13935400.0		5522770.0	4889120.0	6039150.0	3376740.0	12922200.0	3103480.0	21859300.0	6891040.0	
A2VDJ0			470560.0	10911.2	1046370.0	18773.0					9737.42		2970900.0	12576.3					368360.0	69684.0
A3KMH1	45190300.0	91721900.0	80101300.0	102158000.0	186242000.0	94354700.0	58239900.0	74836400.0	55590700.0	46755800.0	132966000.0	44990300.0	57228800.0	74539200.0	44263900.0	21482300.0	58521400.0	117585000.0	146531000.0	79788900.0
A3KN83	4110750.0	9234240.0	11595800.0	2614310.0	660696.0	9604850.0	6427090.0	6042930.0	4960130.0	2161390.0	5366640.0	4357690.0	4321860.0	2694000.0	1502860.0	2853610.0	943151.0	1424660.0	14288500.0	877838.0
A3QJZ6	220804.0														10627700.0					
A3QJZ6;Q5SWL8;Q5VWM3				3946550.0				1559690.0			2032450.0			936539.0				3206670.0		
A4D126	6339380.0	2996750.0		1427070.0	3210990.0	33768000.0	26702200.0	3461100.0	4900180.0	6266980.0	17990.0	11826400.0	4625720.0	5064910.0	8191570.0	2447740.0	3805390.0	3543240.0	10988100.0	41190.0
A4D161	8743.27	12325.2					17499.6	8876.14				7927.02	1694780.0	17147.5						
A4D1B5		21154800.0																		
A4D1E9	10027600.0	7604460.0	3515870.0	5495900.0	6627570.0	8979050.0	14014500.0	7674140.0	5844640.0	14441500.0	7894750.0	9665200.0	7648950.0	6613500.0	26954900.0	5320230.0	7418810.0	12243700.0	5049440.0	11785600.0
A4D1P6	33270700.0	7635350.0	22441000.0	10112000.0	908247000.0	433913000.0	39789300.0	29489300.0	36396900.0	38662100.0	13057600.0	36493000.0	21770000.0	42268200.0	33888100.0	25311900.0	33163100.0	116591000.0	139749000.0	1427340000.0
A4D1U4	10521700.0	6417400.0	2530580.0	9197010.0	12044600.0	6641780.0	31704100.0	866468.0	602040.0	14611200.0	5985400.0	44764700.0	16766100.0	3399740.0	67369700.0	40972500.0	4393800.0	10685200.0	2342660.0	3612260.0
A4D256;O60729			4671.71											8296.13						
A4D2B0	2350520.0	2752980.0	2678820.0	1769170.0	646544.0	785208.0	2550160.0	6788020.0	2468770.0	2550440.0	20104000.0	4914360.0	4596820.0	3066350.0	3108470.0	1264520.0	951680.0	5345110.0	2356850.0	6021980.0
A5A3E0													5687500000.0	64153200.0						
A5D6W6	8141950.0	8354.6	4037590.0	10974400.0	1919970.0	3907350.0	5939180.0	3299270.0	5587610.0	6968440.0	8904740.0	5511600.0	6347040.0	3685100.0	5371190.0	5189560.0	4607260.0	3242180.0	3429770.0	4643750.0
A5D8V6	6659020.0	594213.0	1887880.0	25645.1	267526.0	1959960.0	2764250.0	3727190.0	1063060.0	1379240.0	16572.7	12704500.0	3436810.0	2608840.0	4688660.0	2437850.0	4557270.0	425404.0	2242650.0	928913.0
A5LHX3															14012500.0					
A5PLL7						759929.0														
A5PLN9	2172440.0	5459080.0	20114600.0	60114100.0	71159600.0	45574000.0	3440910.0	3440890.0	4417200.0	22738900.0	18014000.0	3612850.0	3560360.0	37951700.0	2506570.0	3243300.0	4261340.0	20305300.0	113423000.0	19854000.0
A5YKK6	284172000.0	48419000.0	441808000.0	332518000.0	336829000.0	348545000.0	284889000.0	536668000.0	181377000.0	332206000.0	292293000.0	191619000.0	150261000.0	317384000.0	297017000.0	157478000.0	234748000.0	290703000.0	200752000.0	317232000.0
A5YM69		779770.0	425882.0	379336.0	378779.0		243822.0	19036.5	2198320.0	598047.0	347688.0	336741.0	1869420.0	2574720.0		1883.11	599638.0	1564750.0	1391550.0	744882.0
A6H8Y1														498130000.0						
A6NC05					7911.25															
A6NC98						2359570.0		608759.0									24921.6	16656.6	8509730.0	521573.0
A6NCE7;Q9GZQ8	3482720.0	19555000.0	22789100.0		13073900.0	33100600.0	5676130.0	6853910.0		6071370.0	17711300.0	7090080.0	4577820.0		4912970.0		7392550.0	27243800.0		
A6NCE7;Q9GZQ8;Q9H492									3921770.0							4776480.0				
A6NCF6					12568.0															
A6NCS6	51433400.0	134913000.0	146499000.0	170877000.0	174033000.0	109666000.0	42199600.0	23555400.0	27834600.0	49288900.0	213124000.0	31374800.0	48791500.0	218146000.0	44201500.0	46293700.0	36524600.0	229918000.0	148057000.0	163204000.0
A6NCW7																				203806.0
A6ND36	98207800.0	26333.7		77301.3	6089.91	94337000.0	95980100.0	555419000.0	138073000.0	228547000.0	14945600.0	120219000.0		29024500.0	360832000.0	38499200.0	52273900.0	35252800.0	55133400.0	
A6ND91	116901000.0	264003000.0	506494000.0	340865000.0	350031000.0	386430000.0	151732000.0	103093000.0	110331000.0	161757000.0	467085000.0	226180000.0	143676000.0	226255000.0	119929000.0	170203000.0	117925000.0	537708000.0	352802000.0	437925000.0
A6NDB9	66512500.0	64906300.0	59808400.0	155937000.0	74969300.0	68226500.0	77057800.0	50139700.0	60330700.0	77476900.0	79603900.0	39073100.0	23327500.0	114242000.0	62305700.0	70832700.0	92965600.0	43945800.0	122739000.0	66788200.0
A6NDG6	484900000.0	43822500.0	128857000.0	103213000.0	698869000.0	314569000.0	644966000.0	47108400.0	491172000.0	33147000.0	227006000.0	573994000.0	564190000.0	199214000.0	450920000.0	166551000.0	569584000.0	22137800.0	81096500.0	246569000.0
A6NDR6;A8K0S8;O00470;O14770;Q99687							2832760.0													
A6NDU8	1064270.0	826531.0	2611870.0	645817.0	1606090.0	2628690.0	3227100.0	1195320.0	2548400.0	930663.0	2107800.0	2179530.0	1628670.0	1823980.0	2324220.0	2508020.0	1734280.0	1248630.0	1434970.0	2364320.0
A6NED2	13805200.0	37373800.0	9370020.0	15732600.0	213269000.0	40561600.0	18225300.0	5608920.0	5280800.0	421026.0	5095960.0	68894600.0	14556800.0	30539100.0	6430770.0	38530600.0	11020900.0	28766000.0	10346900.0	43147800.0
A6NEK1													11743100.0							
A6NEL2	15537300.0	8052250.0	5138890.0	1638410.0	7525410.0	1266410.0	32852100.0	5085460.0	1146560.0	5566680.0	172945000.0	2024700.0	1854970.0	27484300.0	4467580.0	26590400.0	53210500.0	1965370.0	24431800.0	3020520.0
A6NEL3							1563760.0													
A6NFI3		7666790.0									3912070.0								3789750.0	
A6NFN3	9860270.0							1648800.0				662838.0	13411300.0						32862300.0	
A6NFQ2	14239700.0	467503.0	3002080.0	7454520.0	1546470.0	14154500.0	3556010.0	887625.0	2143700.0	4382920.0	11765300.0	26168000.0	2367540.0	12190400.0	12642500.0	8400510.0	11095300.0	11200800.0	1502560.0	7453220.0
A6NFY7	5098560.0	2099010.0	4287230.0	2537670.0	3423720.0	7207400.0	3446930.0	12330300.0			4144740.0			6259600.0		3535520.0		3509580.0	10821600.0	5167730.0
A6NGB9						21150100.0	5021.68													
A6NGC4	26147.2		1149340.0		924479.0	3566070.0	3706510.0	1556310.0	3546130.0		35640.2	227205.0	2453390.0	2335040.0	674590.0	1247740.0	1204660.0	772005.0	4335160.0	366904.0
A6NGH8		871495.0		566446.0	2064570.0													1073260.0		
A6NGN4;H0Y7S4;P0DUQ1;P0DUQ2						8533200.0														
A6NH11	14366700.0	7384340.0	31929200.0	21459500.0	42940300.0	133595000.0	30943000.0	56008400.0	52762100.0	17321800.0	37710500.0	29646100.0	19607500.0	88213200.0	8881790.0	5191660.0	18669100.0	119906000.0	27256900.0	31209900.0
A6NHG4																			4424660000.0	
A6NHG4;P30046	2642760000.0							3580400000.0		4799300000.0										
