Protein	14F	14F	17F	23M	25M	28M	36M	37M	39M	43M	44M	45F	45M	47M	48M	49F	50F	52F	59M	66M
Q52LG2												34842000.0								
Q52LJ0	353798000.0	305679000.0	73319300.0	40736700.0	120960000.0	31935600.0	153765000.0	191258000.0	80708600.0	1076470000.0	198546000.0	1005170000.0	219895000.0	57797100.0	21056500.0	325859000.0	827364000.0	99974600.0	190910000.0	187022000.0
Q52LR7												1772740.0					5386.31			
Q52LW3	7871490.0	8579680.0	15300600.0	12670200.0	15531800.0	7488210.0	591419000.0	495166000.0	9326240.0	178900000.0	16158700.0	494995000.0	428877000.0	7302640.0	13065400.0	266816000.0	242771000.0	27171500.0	25632000.0	18826200.0
Q53EL6	20872600.0	30026600.0	60554200.0	87655600.0	80702900.0	111634000.0	24516900.0	84442700.0	63265700.0	59308300.0	86729000.0	110278000.0	90123500.0	88294600.0	79224200.0	8512940.0	14454000.0	182709000.0	258301000.0	162912000.0
Q53EP0	8916250.0	81593900.0	12446800.0	4488070.0	5629190.0	20906000.0	10062000.0	19180900.0	11087100.0	7956810.0	6453070.0	8835730.0	9852490.0	11188200.0	23928500.0	9807030.0	12689500.0	15490900.0	17674000.0	11035800.0
Q53ET0	10574.0					33385400.0		3882040.0			21377400.0	24422.8	322592.0	24947300.0		6413920.0	9266.85	18455600.0	17808800.0	20655.1
Q53EU6	12532800.0	5576490.0	13704100.0	1889160.0	9621.6	10601800.0	16638000.0	9434010.0	16481700.0	12494200.0	17283900.0	27688700.0	13590000.0	6827280.0	12543000.0	10726300.0	8459120.0	592230.0	13841800.0	13578900.0
Q53F19	12495400.0	4615390.0	184806000.0	262508000.0	200827000.0	6395190.0	18878300.0	25618800.0		8031930.0	303764000.0	481592.0		136352000.0	7491180.0	10437800.0	6352500.0	172846000.0	612742000.0	261167000.0
Q53F39	4138850.0	2243160.0		1228530.0	9547160.0	2479440.0	627067.0	556965.0	6025150.0	1932210.0		855560.0	440062.0	779962.0	5040080.0	1026630.0	4266130.0	1893620.0	1489560.0	1087620.0
Q53FA7	16029800.0	2166110.0	7558160.0	26948300.0	22543700.0	27821000.0	27780800.0	21108200.0	11114500.0	20823000.0	28149800.0	22088000.0	24495100.0	8847960.0	17561400.0	15386800.0	14760600.0	3556050.0	24857300.0	21212000.0
Q53FT3	6650440.0	8804690.0	10880400.0	12875700.0	11368900.0	9641950.0	11907600.0	17873800.0	9119730.0	9954970.0	13078300.0	10173100.0	13729400.0	8624480.0	10114700.0	4609090.0	10897300.0	10218900.0	8284000.0	9988710.0
Q53FV1	12597500.0		25423900.0	57806.5	61472.1	8349480.0		18456300.0		21067000.0	2764970.0	34578500.0	11898400.0	41695200.0		19846300.0	33371800.0	36431300.0	39576000.0	4550050.0
Q53FV1;Q9P0S3							9321930.0													
Q53FZ2	313020000.0	123342000.0	413067000.0	316911000.0	148035000.0	156264000.0	186154000.0	416263000.0	187770000.0	245473000.0	138063000.0	276579000.0	243738000.0	292850000.0	242061000.0	147378000.0	132288000.0	276587000.0	143596000.0	161178000.0
Q53G44		404419.0														28859.0		25547.1	64646300.0	34005700.0
Q53G59					16302800.0								1787800.0					14585200.0	7440240.0	8680660.0
Q53GG5	13054900.0	9693180.0	42065800.0	6337910.0	131904000.0	28912400.0	17892400.0	25252700.0	21767000.0	27922400.0	9722410.0	14668000.0	6070190.0	8897050.0	8892120.0	7125370.0	9433440.0	69855600.0	13861700.0	5955290.0
Q53GL7	18939000.0	24410500.0	15045000.0	8558550.0	13748300.0	34755000.0	20605700.0	12231000.0	20988600.0	21360800.0	172420000.0	292479000.0	15322000.0	17139700.0	16976900.0	23242800.0	24533600.0	84215200.0	31872800.0	15137300.0
Q53GQ0	166441000.0	162109000.0	173811000.0	234252000.0	241417000.0	263782000.0	217734000.0	169775000.0	139552000.0	162652000.0	260677000.0	142758000.0	170817000.0	268674000.0	296761000.0	219390000.0	168177000.0	137008000.0	475872000.0	683091000.0
Q53GS7	6851950.0	7346720.0	7277200.0	5693990.0	4491420.0	8123710.0	4561040.0	5187440.0	5405500.0	8168720.0	3827570.0	5282040.0	5237500.0	6840570.0	11082900.0	395930.0	5008190.0	7941430.0	1891830.0	5300040.0
Q53GS9	594960000.0	58489200.0	20126800.0	66723500.0	35473300.0	72372700.0	25672100.0	480713000.0	329685000.0	753655000.0	66153500.0	503983000.0	468387000.0	104556000.0	863478000.0	4735890.0	610607000.0	37303000.0	28297200.0	38009600.0
Q53GT1	10503100.0	17504400.0	10275400.0	21633400.0	19875400.0	23243000.0	18592700.0	13884200.0	12360700.0	15501300.0	47877900.0	21018300.0	19935500.0	22344400.0	37566600.0	9869480.0	2066190.0	30802600.0	4330270.0	56923800.0
Q53H12	21180600.0	24981500.0	30212600.0	26729400.0	29510500.0	27757900.0	32911800.0	52995800.0	24621500.0	33945600.0	31746900.0	18850000.0	15716400.0	24644200.0	21569900.0	15333900.0	24844000.0	24801100.0	30565700.0	22506900.0
Q53H47	40978000.0	10955600.0	9947020.0	9255110.0	6270340.0	5859410.0	28769500.0	36776800.0	20084500.0	35163600.0	13179900.0	37357000.0	24610600.0	13428400.0	39835700.0	31060500.0	26393900.0	19635700.0	11188800.0	13392400.0
Q53H82	95244800.0	74728200.0	105623000.0	88939000.0	69101700.0	107928000.0	71571900.0	50623700.0	42121300.0	54823300.0	101411000.0	53827500.0	57110300.0	111685000.0	64163000.0	43042500.0	58181100.0	67153100.0	61441000.0	66200000.0
Q53H96	17879700.0	38878700.0	34118200.0	32680400.0	31582900.0	33583800.0	13709700.0	17941400.0	17050900.0	23849600.0	26652400.0	22143100.0	19154100.0	51708600.0	13694400.0	17234000.0	22171700.0	31896100.0	57064300.0	13690900.0
Q53HC0					4238060.0			1167390.0											6015650.0	
Q53HC5					6605.87														9024250.0	
Q53HC9	6224420.0	344431000.0	25222000.0	24130500.0	14352200.0	55859000.0	8066190.0	91098400.0	4431020.0	15164700.0	29710100.0	8456820.0	6010800.0	36250000.0	6243340.0	6644880.0	7345200.0	47343300.0	42323100.0	23116800.0
Q53HL2																			522216.0	
Q53HV7		2947760.0	4733270.0	11350500.0	674342.0	3440270.0	68917400.0	56005000.0	13498100.0	17422200.0	41867600.0	16852100.0	8011220.0	21000.4		8795820.0	527160.0	42978000.0	6156960.0	1127520.0
Q53LP3	41295200.0	41072900.0	35863300.0	30295800.0	20828100.0	25294100.0	23729200.0	20138200.0	40781900.0	30156400.0	15093000.0	27326000.0	45721600.0	24485200.0	26658000.0	50846400.0	33275100.0	32696800.0	27102300.0	46330200.0
Q53QZ3						18835.8		1277110.0												21733.1
Q53R41	12361300.0	8614260.0	2852280.0	2256090.0	1965960.0	9825840.0	4367810.0		526821.0	7273440.0	2711890.0	8772790.0	18080800.0	3293590.0	15388200.0	9653510.0	588112.0	7660820.0	6095120.0	4238230.0
Q53RD9																		10603900.0		
Q53RE8	27502.2	3628180.0		165193000.0		5585.72			1080860.0			7070640.0		221158000.0		5682480.0	2870040.0	5844370.0		
Q53RT3								1652450.0						16781.7						
Q53RY4	25009.7	11599.2								1341060.0	73368100.0	1057400.0	398062.0	5853.0			740257.0		5357000.0	6680.05
Q53S08				13457100.0	3005110.0															
Q53S33	15921000.0	9999320.0	20363800.0	17127100.0	18130100.0	29701900.0	13113800.0	12748800.0	7570420.0	9314700.0	36085200.0	11520200.0	8876390.0	42353600.0	6947060.0	15485900.0	16506700.0	33738800.0	23287600.0	30892100.0
Q53S58	11981700.0	7004750.0	8250890.0	11924600.0	4745190.0	7152420.0	37205700.0	40225500.0	11492600.0	31488800.0	6988300.0	13278200.0	6270210.0	7490230.0	11402600.0	7416500.0	6516110.0	10168500.0	3545910.0	10437700.0
Q53SF7	55925400.0	190947000.0	167404000.0	337388000.0	174611000.0	165328000.0	38703200.0	167835000.0	664506000.0	23628300.0	267440000.0	178060000.0	24845600.0	212614000.0	256417000.0	35731600.0	128175000.0	202571000.0	438678000.0	146008000.0
Q53T59	15865400.0	22448000.0	28941500.0	38327300.0	28056400.0	127138000.0	20057300.0	23929800.0	16530900.0	16210400.0	28470100.0	16688400.0	16306700.0	25422100.0	15312000.0	15202000.0	15054700.0	29625100.0	38720700.0	29942800.0
Q53TN4	38201400.0	20738500.0	8880340.0	24083900.0	20060000.0	36188800.0	45316400.0	20661200.0	18299900.0	24703400.0	21196100.0	64285200.0	18103900.0	21115900.0	26768800.0	26655300.0	19126600.0	63774800.0	11778800.0	23825900.0
Q562E7	23326500.0	46050700.0	71452000.0	102137000.0	98385400.0	22697500.0	94694400.0	106362000.0	139173000.0	117651000.0	122013000.0	136827000.0	142929000.0	122355000.0	56360700.0	13326100.0	21875800.0	49563300.0	104353000.0	4937390.0
Q562R1	15019500000.0	13094200000.0	13009100000.0	14353000000.0	10527600000.0	17567900000.0	13707200000.0	15139200000.0	15193600000.0	24529400.0	12534000000.0	14040600000.0	12058800000.0	11354500000.0	13256600000.0	90098900.0	14624400000.0	14434100000.0	11547300000.0	7730810000.0
Q567U6	43923900.0	237883000.0	191861000.0	203055000.0	206755000.0	234843000.0	48730500.0	70850800.0	121919000.0	71063400.0	248210000.0	95802500.0	48933900.0	242951000.0	139085000.0	118554000.0	28350500.0	113771000.0	283233000.0	248463000.0
Q567V2	9295240.0	6391060.0	9426810.0	10139900.0	10758800.0	17284600.0	7289550.0	18754700.0	853042.0	38377000.0	6576230.0	3327900.0	7599620.0	16058000.0	9017580.0	9848460.0	9813210.0	4690220.0	8064360.0	9171660.0
Q56P03		354320.0	15799200.0	20272300.0			2177840.0	5247390.0	3073220.0						6060310.0		1247270.0			13054900.0
Q56VL3	97475200.0	143686000.0	136010000.0	185214000.0	102009000.0	109257000.0	119871000.0	58171200.0	56683400.0	60769100.0	225691000.0	89865800.0	90000000.0	226573000.0	103840000.0	83175600.0	93264300.0	156298000.0	113150000.0	160779000.0
Q587I9	8387170.0	5998980.0	10189400.0	5913710.0	5024870.0	10902700.0	8630390.0	12382400.0	6569680.0	6768530.0	7996560.0	8686090.0	4649720.0	7395560.0	9232400.0	7843290.0	5297110.0	6441310.0	4519880.0	5187440.0
Q58A45					11398.1															
Q58DX5	3815920.0	3612420.0	4803870.0	6655930.0	6464860.0	6790270.0	5556840.0		25042500.0	28484100.0	27244200.0	23781700.0	23834500.0	7288840.0	15264700.0	10823500.0	6474240.0	18984200.0	917914.0	6953440.0
Q58FF6	139108000.0	128552000.0	162373000.0	128879000.0	137992000.0	200185000.0	154791000.0	273840000.0	79659700.0	133248000.0	188543000.0	126888000.0	88148300.0	145903000.0	114760000.0	132345000.0	140342000.0	150540000.0	256250000.0	146173000.0
Q58FF8	205673000.0	37430.4	36730.9	36751.0	191477000.0	184493.0	248806000.0	372492000.0	129937000.0	210290000.0	182088000.0	245617000.0	119549000.0	522355.0	169649000.0	251543000.0	211507000.0	231955000.0	445019000.0	26268.5
Q58FG1	24836700.0	22330600.0	34959100.0	26607600.0	31556300.0	57354200.0	36014400.0	73909500.0	22930300.0	34205400.0	29304000.0	24296000.0	24124400.0	36980100.0	23628800.0	31595500.0	27853000.0	31411600.0	43586400.0	27195800.0
Q58WW2	7256940.0	5602500.0	4568470.0	18709300.0	4030010.0	6754380.0	56542300.0	6845150.0	4705800.0	51757300.0	17169500.0	79410300.0	11517200.0	17494300.0	29812400.0	60517000.0	4163490.0	7803080.0	6691170.0	7666880.0
Q5BJD5	69852300.0	28948200.0	29862200.0	37785800.0	40009700.0	70536600.0	545719000.0	371633000.0	533249000.0	637208000.0	53204400.0	495197000.0	642991000.0	30605600.0	764948000.0	84506600.0	36715600.0	65798000.0	34168800.0	40506100.0
Q5BJF2	253562000.0	246784000.0	199679000.0	242662000.0	340604000.0	259871000.0	192098000.0	167627000.0	190411000.0	178455000.0	163805000.0	227099000.0	195084000.0	302843000.0	339171000.0	324020000.0	220326000.0	269587000.0	264460000.0	393655000.0
Q5BJF6	19193200.0	1920730.0							281804.0	32730200.0		42843400.0	896083.0		11742.7	559707.0	8081930.0	4715.6		
Q5BJH2	1206260.0	2582.88	31021.4	4733920.0	47786.4	7161640.0	9680.11	2853750.0	579820.0	9454.89		1307730.0	2270880.0	2396700.0	1100160.0	1808200.0	1608650.0	2919400.0	3099230.0	6847700.0
Q5BJH7	7984980.0	6342780.0	8245630.0	5238500.0	8804130.0	17551800.0	9133740.0	13099100.0	5693840.0	5270690.0	9819300.0	6633910.0	4769950.0	7597160.0	10281900.0	5836440.0	5582510.0	6217280.0	12828700.0	11574900.0
Q5BKT4	4348560.0	2133130.0	9614740.0	12618800.0	12969700.0	37745500.0	3338430.0			36597500.0	8032230.0		43197500.0	12773700.0	17725700.0	5455400.0	5631760.0	8256010.0	43845300.0	15484800.0
Q5BKT4;Q5I7T1								1268840.0	56278700.0			19695600.0								
Q5BKU9	12022200.0	5060570.0	9673790.0	7190660.0	7803500.0	7391430.0	11053200.0	14121600.0	12004300.0	13324600.0	13368700.0	10551800.0	9703490.0	10758500.0	10679100.0	10391900.0	11430000.0	12524500.0	12700000.0	7693760.0
Q5BKX5		67099.0				27777.6			1413090.0						2918440.0		519182.0		1012220.0	
Q5BKY9		489514.0	43019.2	22785.1	62414.4	571632.0		13892000.0	6574910.0			4205480.0		1104200.0		3165520.0			563270.0	1234750.0
Q5BKZ1	16762000.0	9013760.0	72659100.0	65772800.0	7083330.0	12817200.0	11850300.0	19139600.0	11126300.0	10003500.0	13292800.0	15830900.0	9975850.0	55385100.0	10785600.0	15817500.0	15294100.0	11414100.0	13244300.0	27231900.0
Q5C9Z4	2161310.0	6389090.0	1538500.0	19060.2	340438.0	986440.0	4486620.0	13228900.0		8709670.0	1660780.0	3847690.0	5017420.0	208113.0	5817160.0	8651840.0	1090880.0	120706.0	30693200.0	316240.0
Q5D0E6												7168440.0		8975.49		302060.0		6588860.0		
Q5D1E8		56608.8				321344.0		15249900.0				6448.27		9061.53					2524010.0	
Q5D862	5137300.0	215945.0	1646120.0			4498520.0		7894200.0	5997280.0			7066800.0	3782380.0	2171370.0	5938790.0		4626530.0			2826950.0
Q5EB52	8596340.0	2615360.0			742539.0		1194990.0	6221480.0	6098840.0	9899640.0	649492.0	7814070.0	2943490.0	2181830.0		6569040.0	5863610.0	75575.0	5244060.0	1633130.0
Q5EBL4	4173580.0	26484.7	1227040.0	1879930.0	2450120.0	5737640.0	4920640.0	8636050.0	67791600.0	639917.0	12990100.0	3975270.0		2490440.0	3755750.0	5433520.0	8071990.0	12339400.0	825490.0	1064360.0
Q5EBL8	70414400.0	166764000.0	44921100.0	12225500.0	7847820.0	6835400.0	49648400.0	31336200.0	148866000.0	12997400.0	9068990.0	81925600.0	90305500.0	5286910.0	75885400.0	92284100.0	86293800.0	8034370.0	273924000.0	138286000.0
Q5EBM0	62071700.0	46848700.0	199484000.0	60302500.0	47002900.0	33207300.0	48842200.0	3153260.0	40834800.0	24973900.0	56469100.0	45840700.0	8934710.0	58047600.0	61092500.0	43516300.0	52257400.0	40866900.0	115935000.0	46324300.0
Q5EG05		66959900.0	58988400.0	28054200.0	47763300.0	31605700.0	10522900.0	1174310.0	3005110.0	892792.0	44044700.0		1739280.0	46854700.0	1195440.0	1534870.0	2884920.0	69057300.0	38504100.0	23634200.0
Q5F1R6	14778100.0	11671300.0	2771330.0	4025710.0	9190700.0	2829540.0	22137400.0	15402100.0	17732500.0	17704300.0	3215940.0	21168800.0	15437500.0	4245240.0	10737000.0	8473530.0	7394240.0	4256480.0	8965980.0	3794990.0
Q5FBB7																		85582.7		
Q5GJ75	22967200.0		6579.94		6594910.0	11733700.0	73739000.0	37744000.0	38573900.0	39907100.0				674685.0		53903000.0	13227600.0	15055.7	10160200.0	
Q5GLZ8	71825100.0	51669900.0	27897500.0	72892400.0	22627800.0	234284000.0	30939400.0	200427000.0	8085010.0	31214200.0	34084200.0	10541300.0	41233400.0	38361800.0	11978500.0	39799800.0	10105300.0	205100000.0	99459100.0	57588200.0
Q5H8A4	12117300.0	47431.2	2734420.0	346254000.0	270956000.0	93459400.0	1394170.0	1147330.0		19419100.0	17290400.0	13825400.0	14085200.0	475439.0	9588360.0	805620.0	7911860.0	243619000.0	277336000.0	80926900.0
Q5H9F3			1685580.0																	
Q5H9L2										1026320.0										
Q5H9L2;Q969E4			302381.0									478698.0	758484.0		194152.0		473393.0	1167140.0		
Q5H9R7	163952000.0	65998000.0	86610600.0	185613000.0	137338000.0	84519600.0	406777000.0	170308000.0	801080000.0	290306000.0	223739000.0	843292000.0	687092000.0	170609000.0	536564000.0	331120000.0	401197000.0	98404300.0	85222100.0	51115000.0
Q5H9U9				2326360.0		6393260.0		7549150.0						137250000.0	2412940.0	444412.0			31017000.0	
Q5HYC2						2769440.0														
Q5HYI7	5400620.0	9188340.0	56701100.0	15023200.0	857837000.0	276255000.0	3851210.0	3993020.0	2031330.0	1616610.0	385575000.0	2420570.0	2274610.0	456641000.0	3917230.0	2674680000.0	9375150.0	12456200.0	1163680000.0	8957230.0
Q5HYI8	8626060.0	188054000.0	70681100.0	124374000.0	89193100.0	130862000.0	20687800.0	14046900.0	8494800.0	12087100.0	319368000.0	18506800.0	6287740.0	179169000.0	13578600.0	9476720.0	10151200.0	253857000.0	133886000.0	102240000.0
Q5HYJ3	20616300.0	1733700.0	1972010.0	6704.47	131739.0	3406960.0		7707420.0				29606300.0	27488800.0	7544470.0		30296200.0	832610.0	4514640.0	2638910.0	
Q5HYK3	40358300.0	40476100.0	125094000.0	94420300.0	92509000.0	37793600.0	47788400.0	30730700.0	37265600.0	46997500.0	66570200.0	48466400.0	26715100.0	77573300.0	368233000.0	31339200.0	210381000.0	58185600.0	49586200.0	88572500.0
Q5HYK7	23874200.0	1069590.0	18735400.0	13513000.0	22636700.0	17756600.0	6088900.0	3696480.0	6477070.0	10781900.0	10372300.0	2691620.0	6482840.0	5557740.0	6374910.0	4671040.0	13439500.0	9818890.0	22124900.0	17733100.0
Q5HYW2				5686280.0		1179310.0	1510580.0	191428.0						12267.7		7563870.0	4697570.0	337964.0	785278.0	
Q5I0X7				1914790.0								3449.6	13826.6						5040.83	
Q5J8M3	36577800.0	18322900.0	61331300.0	54624200.0	52139000.0	60874200.0	92680900.0	67603200.0	120332000.0	229894000.0	81643000.0	60634900.0	97751200.0	36599000.0	141710000.0	56578800.0	69900300.0	55533500.0	64505100.0	69263700.0
Q5JPH6	69656900.0	25206700.0	18695500.0	19710200.0	52520600.0	25976200.0	106438000.0	23787800.0	63801700.0	59131800.0	17409300.0	81002000.0	110482000.0	34121800.0	115612000.0	54181700.0	43724300.0	42577900.0	33839200.0	31413900.0
Q5JPI3	4544140.0	1637820.0	22702.4	942624.0	17147200.0	11222800.0	13099100.0	5713460.0	1748280.0	1194990.0	4162620.0	1517220.0	4321190.0	44331700.0	5987660.0	2276000.0	8283700.0	38947500.0	7939590.0	15080600.0
Q5JPI9	50986500.0	17772200.0	4360890.0	17565900.0	28818600.0	8459180.0	8670210.0		21530200.0	27284700.0	12320700.0	45522100.0	25501400.0	10327000.0	39321800.0	34124000.0	21694500.0	25424400.0	4953830.0	4245910.0
Q5JQF8		16165.6																		
Q5JRA6	36286600.0	86239800.0	274090000.0	434987000.0	481998000.0	411358000.0	56556500.0	52497600.0	62452500.0	71960600.0	207843000.0	97065600.0	107555000.0	91437400.0	40777800.0	21211500.0	25039100.0	291482000.0	403812000.0	378870000.0
Q5JRX3	36860200.0	35270300.0	46624500.0	26680100.0	34319200.0	48444500.0	32192800.0	113053000.0	144344000.0	180444000.0	30397900.0	30421300.0	201377000.0	39257500.0	132130000.0	29895200.0	37320700.0	37113000.0	32983000.0	262482000.0
Q5JS37	8051380.0	9629270.0	18466900.0	14676300.0	21120900.0	26070700.0	24322600.0	15869000.0	18453900.0	20599800.0	18088700.0	13145100.0	14637800.0	40451600.0	12897600.0	12438400.0	12377600.0	83774500.0	26845600.0	17303600.0
Q5JS54	1298000.0	2566120.0	5865720.0	3575220.0	10609300.0	4944800.0	5991420.0	4017860.0	1478740.0	5907060.0	9036090.0	7378170.0	1598850.0	4448560.0	3454260.0	5286660.0	7009990.0	16869700.0	11567200.0	9288870.0
Q5JSH3	203927000.0	204127000.0	48896400.0	255125000.0	284864000.0	163515000.0	213346000.0	102734000.0	135560000.0	224777000.0	283212000.0	160154000.0	178580000.0	44412900.0	94268800.0	201752000.0	216994000.0	105688000.0	203833000.0	245252000.0
Q5JSL3	3552940.0	7307500.0	6235000.0	35828700.0	7204080.0	85115700.0	36817400.0	35624600.0	14462300.0	33341300.0	27879900.0	3774240.0	10203400.0	5380060.0	2619240.0	25056400.0	55946400.0	54160100.0	9598210.0	5219820.0
Q5JSP0				14459.9	530799.0	5548800.0		2794170.0	15989.5	411097.0	7295.46		6136900.0		1006850.0	1094040.0	1620050.0	575493.0	760592.0	1802060.0
Q5JSZ5	11040500.0	20552500.0	8932440.0	20902300.0	7172530.0	21091900.0	9384450.0	16677100.0	3368230.0	20361500.0	20397700.0	3991120.0	870114.0	10660900.0	19904900.0	3987070.0	1806310.0	3337490.0	26168500.0	1815920.0
Q5JTB6	3614840.0	273268.0	572230.0	1103590.0	556775.0	17831.0	1990500.0	6747520.0	5452660.0	5845410.0	54995.6	4396730.0	4796140.0	239376.0	5283310.0	456739.0	4362700.0	940353.0	250753.0	1073760.0
Q5JTD0	4097070.0	3440850.0	2816020.0	7711630.0	788952.0	3537390.0	3548420.0	5560080.0	5678880.0	4321750.0	1990660.0	6250170.0	3424590.0	12357400.0	1918640.0	2750090.0	3888390.0	5252360.0	2221080.0	5577520.0
Q5JTH9	84369800.0	12135800.0	92338100.0	73620000.0	106738000.0	105992000.0	93270700.0	116523000.0	59198800.0	88264300.0	98514600.0	145845000.0	58916200.0	112957000.0	142795000.0	87048700.0	129959000.0	152888000.0	120733000.0	73638200.0
Q5JTJ3	117862000.0	108225000.0	130843000.0	68957800.0	155391000.0	34297900.0	87019700.0	103447000.0	126941000.0	128122000.0	113941000.0	128906000.0	83925000.0	148128000.0	103500000.0	127364000.0	59383500.0	100376000.0	69198200.0	126555000.0
Q5JTV8	26840600.0	39749700.0	34488600.0	36237800.0	35171600.0	43192400.0	27553500.0	30379100.0	35165800.0	17098000.0	44337700.0	17347900.0	28805000.0	44351900.0	22641000.0	27303900.0	28109100.0	42862700.0	50655900.0	38506600.0
Q5JTY5;Q5RIA9							9304.37			5847430.0									1289770.0	
Q5JTY5;Q5RIA9;Q9BRT8						104994000.0														
Q5JTZ9	56988600.0	7697420.0	11298200.0	42443900.0	82037400.0	124758000.0	32039500.0	25529900.0	30141100.0	27452700.0	13764800.0	76698700.0	38886700.0	10306100.0	37453000.0	23341600.0	24271100.0	17122600.0	13607500.0	29761400.0
Q5JU69	1184620.0	4012370.0	3886980.0	4383990.0	3232070.0	3124080.0			3384430.0		6272540.0		875627.0	3853000.0	3888230.0		1470950.0	4549030.0	6588360.0	6513970.0
Q5JUR7	7913580.0	1740670.0	2248560.0	1727460.0	983536.0	49209500.0	24104100.0	2477220.0	14848600.0	18944700.0	9223910.0	5327390.0	22163300.0	1762500.0	6774320.0	13951300.0	4167970.0	5427960.0	845700.0	1013230.0
Q5JVF3	5916080.0	5402140.0	5370920.0	13864000.0	6510170.0	7759430.0	5293800.0	5635160.0	4467650.0	8927070.0	5589980.0	12005400.0	8066390.0	7504800.0	8503300.0	8197400.0	5914290.0	5107360.0	9460400.0	4995660.0
Q5JVS0		4684100.0		3715.44		2369550.0	210533.0	2569760.0			219579.0			1921570.0	845078.0			268169.0	117871.0	4641680.0
Q5JWF2	63928300.0	513942000.0	359310000.0	437337000.0	398404000.0	458914000.0	333085000.0	321727000.0	383594000.0	40073800.0	219653000.0	77295400.0	94955800.0	394416000.0	126848000.0	43237000.0	43558600.0	544483000.0	117937000.0	305957000.0
Q5JWR5	123482000.0	791901.0	803552.0		505922.0	3360740.0	31178500.0	22024800.0	29425600.0	113020000.0	3960340.0	10348000.0		2999270.0	21385400.0	38958900.0	25844100.0	2647960.0	3318670.0	7519580.0
Q5K4L6	6864420.0	14791500.0	105817000.0	627759000.0	189958000.0	415677000.0	57160700.0	5273900.0	42419400.0	81527700.0	286569000.0	99300800.0	123054000.0	361312000.0	40972300.0	64162700.0	61081000.0	276870000.0	383197000.0	280183000.0
Q5K651	11581800.0	5091280.0	510459.0	10582000.0	405638.0	17841600.0	1219210.0	1281330.0	11660600.0	3411570.0	342808.0	13555700.0	6340960.0	5956150.0		8546500.0	4992280.0	3706480.0	13880600.0	9950940.0
Q5M775			44335100.0			59505800.0								33656200.0				42811700.0		
Q5M7Z0	8600110.0	8481810.0	7627260.0	9167080.0	7159880.0	5830110.0	36654700.0	15294900.0	41439400.0	771397.0	6160600.0	11196200.0	965916.0	15583800.0	41296100.0	10075000.0	6040150.0	19619400.0	11877400.0	15362100.0
Q5MIZ7	2511310.0	1329770.0	6932110.0	13931900.0	36642100.0	3336880.0	439674.0	467699.0		1225650.0	9030170.0	1596360.0	1920100.0	14237800.0	527049.0	1667110.0	575038.0	6980530.0	10123400.0	10732600.0
Q5MNZ6	37417200.0	20385500.0	17637800.0	8046310.0	3023070.0	12819600.0	22149400.0	11555500.0	16292900.0	41986800.0	16143600.0	29410700.0	20747900.0	21155200.0	29267800.0	27947300.0	14820500.0	16264000.0	11421700.0	16911000.0
Q5MNZ9	9437650.0	562376.0	14671800.0	7746680.0	29452800.0	10823300.0	12935900.0	2587610.0	2248930.0	4456230.0	5146280.0	2681110.0	5477630.0	10498000.0	6958110.0	9481170.0	7043170.0	38883600.0	95015700.0	30326400.0
Q5MY95	4172270.0	247233.0		6184430.0			3076300.0		1192760.0	2620730.0	1049030.0		2655930.0		3830050.0	3946700.0	4106430.0			2717450.0
Q5NDL2	4603310.0	582908.0	3289710.0	3401970.0	5535020.0	10545100.0	4220190.0	1420180.0	1699570.0	527454.0	4767630.0	6655370.0	1495560.0	8575200.0	4623010.0	1446440.0	1616350.0	8224930.0	2524840.0	9825210.0
Q5PRF9	9907780.0	716093.0	14646400.0	46768700.0	61753900.0	38761000.0	40210800.0	33872100.0	441925.0	19293600.0	46427200.0	51281100.0	1191190.0	154666000.0	26826200.0	7851430.0	610416.0	5669590.0	31802900.0	50402100.0
Q5PSV4	9136790.0	38900.4		16804.5		704085.0								21967.2		13183600.0		537128.0	465362.0	1006570.0
Q5PT55	1871500.0	2892450.0	1860650.0	3244540.0		2955500.0	1883180.0		3880330.0		7094040.0	4465600.0	71640.0		2198700.0	5002360.0	1956130.0	3846820.0	4745660.0	172278.0
Q5QGS0																		939367.0		
Q5QGZ9						1129730.0												1475590.0		
Q5QJ74	5955410.0	2960010.0	26129100.0	25265900.0	44813500.0	27729000.0	9778810.0	7038610.0	26107800.0	44308900.0	33972800.0	8051750.0	5911120.0	21230400.0	13229200.0	10213500.0	9846860.0	31722300.0	26244900.0	35685000.0
Q5QJE6	8987190.0	9050220.0	49336400.0	10041200.0	55182200.0	123616000.0	13308100.0	18650700.0	36145000.0	29800000.0	190392000.0	33286400.0	38949600.0	162487000.0	35109300.0	9020820.0	6908850.0	156363000.0	45372700.0	42048600.0
Q5QNW6;Q93079				2657460000.0											2892360000.0					2588340000.0
Q5QP82	5582770.0	26046100.0	11270.0	37747300.0	13919900.0	66892300.0	8917500.0	10768000.0	920238.0	1633460.0	47124500.0	4859970.0	4030790.0	55266300.0	3824600.0	3912820.0	3676220.0	9518390.0	12275700.0	976148.0
Q5R372	1280830.0	6646980.0	3066020.0	1086460.0	1297950.0	11550000.0	8954960.0	8796970.0	8145380.0	10471600.0	50047200.0	6297110.0	5102840.0	9416160.0	701214.0	2441410.0	12389100.0	3537750.0	10788400.0	5184410.0
